text,label
Illegal Parking Blocked Crosswalk Street/Sidewalk 80-19 95 AVENUE 95 AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 101 WEST 53 STREET WEST 53 STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 352 TANGLEWOOD DRIVE TANGLEWOOD DRIVE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 2284 MCDONALD AVENUE MCDONALD AVENUE,UNSAFE_CROSSWALK
Traffic Signal Condition Ped Multiple Lamps   ,MISSING_SIGNAGE
Street Light Condition Street Light Out  31-02 STEINWAY STREET STEINWAY STREET,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 2890 SHELL ROAD SHELL ROAD,UNSAFE_CROSSWALK
Street Sign - Damaged St Name - Attached to Pole Street 64 RIVERSIDE BOULEVARD RIVERSIDE BOULEVARD,MISSING_SIGNAGE
Street Light Condition Street Light Out  210 EAST  118 STREET EAST  118 STREET,POOR_LIGHTING
Street Light Condition Street Light Out  1490 WEST FARMS ROAD WEST FARMS ROAD,POOR_LIGHTING
Street Light Condition Flood Light Lamp Cycling  1110 EASTERN PARKWAY EASTERN PARKWAY,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 4287 KATONAH AVENUE KATONAH AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 339 HARBOR ROAD HARBOR ROAD,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 1605 EAST 174 STREET EAST 174 STREET,UNSAFE_CROSSWALK
Traffic Congestion/Gridlock Street/Sidewalk WEST 120 STREET WEST 120 STREET,OTHER
Traffic Drag Racing Street/Sidewalk 1870 BAY RIDGE PARKWAY BAY RIDGE PARKWAY,SPEEDING
Illegal Parking Blocked Crosswalk Street/Sidewalk 288 72 STREET 72 STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 2109 BAY AVENUE BAY AVENUE,UNSAFE_CROSSWALK
"Street Sign - Damaged No Parking, Standing, Stopping Street 20-30 SEAGIRT BOULEVARD SEAGIRT BOULEVARD",MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 33-02 BROADWAY BROADWAY,UNSAFE_CROSSWALK
Street Sign - Damaged Yield Street 20-26 SEAGIRT BOULEVARD SEAGIRT BOULEVARD,MISSING_SIGNAGE
Traffic Congestion/Gridlock Street/Sidewalk BROOME STREET BROOME STREET,OTHER
Illegal Parking Blocked Crosswalk Street/Sidewalk 377 CUMBERLAND STREET CUMBERLAND STREET,UNSAFE_CROSSWALK
"Street Sign - Damaged No Parking, Standing, Stopping Street 20-08 SEAGIRT BOULEVARD SEAGIRT BOULEVARD",MISSING_SIGNAGE
Street Sign - Damaged Other/Unknown Street 1654 AMSTERDAM AVENUE AMSTERDAM AVENUE,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 59-05 XENIA STREET XENIA STREET,UNSAFE_CROSSWALK
Traffic Signal Condition Veh Signal Lamp   ,MISSING_SIGNAGE
"Street Sign - Damaged No Parking, Standing, Stopping Street 58-27 79 AVENUE 79 AVENUE",MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 1947 CLINTON AVENUE CLINTON AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 40 STREET 40 STREET,UNSAFE_CROSSWALK
Traffic Congestion/Gridlock Street/Sidewalk 64-20 SAUNDERS STREET SAUNDERS STREET,OTHER
Street Light Condition Street Light Out  100-27 METROPOLITAN AVENUE METROPOLITAN AVENUE,POOR_LIGHTING
Traffic Truck Route Violation Street/Sidewalk 53-11 SPRINGFIELD BOULEVARD SPRINGFIELD BOULEVARD,OTHER
Street Light Condition Fixture/Luminaire Hanging   ,POOR_LIGHTING
Street Sign - Missing Other/Unknown Street 606 KINGS HIGHWAY KINGS HIGHWAY,MISSING_SIGNAGE
Street Sign - Missing St Name - Attached to Pole Street 3200 BROADWAY BROADWAY,MISSING_SIGNAGE
Street Sign - Missing Street Cleaning - ASP Street 606 KINGS HIGHWAY KINGS HIGHWAY,MISSING_SIGNAGE
Traffic Chronic Speeding Street/Sidewalk RIVERSIDE DRIVE RIVERSIDE DRIVE,SPEEDING
Traffic Signal Condition Foundation   ,MISSING_SIGNAGE
Street Light Condition Lamppost Damaged  WEST  156 STREET WEST  156 STREET,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 8-15 27 AVENUE 27 AVENUE,UNSAFE_CROSSWALK
"Street Sign - Damaged No Parking, Standing, Stopping Street 801 NARROWS ROAD NORTH NARROWS ROAD NORTH",MISSING_SIGNAGE
Traffic Congestion/Gridlock Street/Sidewalk EMMONS AVENUE EMMONS AVENUE,OTHER
Illegal Parking Blocked Crosswalk Street/Sidewalk 160 BERRY STREET BERRY STREET,UNSAFE_CROSSWALK
Street Sign - Damaged Construction Street EAST 111 STREET EAST 111 STREET,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk OCEAN AVENUE OCEAN AVENUE,UNSAFE_CROSSWALK
Traffic Signal Condition APS   ,MISSING_SIGNAGE
Street Light Condition Multiple Street Lights Out  CROSS BRONX EXPY CROSS BRONX EXPY,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 740 4 AVENUE 4 AVENUE,UNSAFE_CROSSWALK
Street Light Condition Lamppost Missing  GRAND CENTRAL PKWY GRAND CENTRAL PKWY,POOR_LIGHTING
Traffic Signal Condition Support Bracket   ,MISSING_SIGNAGE
Traffic Congestion/Gridlock Street/Sidewalk CORONA PLAZA CORONA PLAZA,OTHER
Traffic Signal Condition Post   ,MISSING_SIGNAGE
Traffic Signal Condition Warning Signal   ,MISSING_SIGNAGE
Traffic Signal Condition Veh Signal Visor   ,MISSING_SIGNAGE
Traffic Drag Racing Street/Sidewalk 1954 TROY AVENUE TROY AVENUE,SPEEDING
Traffic Signal Condition Base Door   ,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 24-02 49 AVENUE 49 AVENUE,UNSAFE_CROSSWALK
"Street Sign - Damaged No Parking, Standing, Stopping Street 71-11 ELIOT AVENUE ELIOT AVENUE",MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk PERRY STREET PERRY STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 300 HUNTINGTON STREET HUNTINGTON STREET,UNSAFE_CROSSWALK
Street Sign - Damaged Bus Stop Street CANAL STREET CANAL STREET,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 54-20 BROADWAY BROADWAY,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk HERKIMER STREET HERKIMER STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 122 STREET 122 STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk BELL BOULEVARD BELL BOULEVARD,UNSAFE_CROSSWALK
Traffic Truck Route Violation Street/Sidewalk 64-30 BELL BOULEVARD BELL BOULEVARD,OTHER
Illegal Parking Blocked Crosswalk Street/Sidewalk 53-73 66 STREET 66 STREET,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  143-38 228 STREET 228 STREET,POOR_LIGHTING
"Street Sign - Damaged No Parking, Standing, Stopping Street 97-44 SUTPHIN BOULEVARD SUTPHIN BOULEVARD",MISSING_SIGNAGE
Traffic Truck Route Violation Street/Sidewalk 64-10 BELL BOULEVARD BELL BOULEVARD,OTHER
Street Light Condition Lamppost Base Door/Cover Damaged  862 SOUTHERN BOULEVARD SOUTHERN BOULEVARD,POOR_LIGHTING
Traffic Truck Route Violation Street/Sidewalk 64-29 BELL BOULEVARD BELL BOULEVARD,OTHER
Street Light Condition Street Light Out  43 AVENUE 43 AVENUE,POOR_LIGHTING
Traffic Truck Route Violation Street/Sidewalk 58-27 BELL BOULEVARD BELL BOULEVARD,OTHER
Street Sign - Missing St Name - Attached to Pole Street 3 PIERREPONT STREET PIERREPONT STREET,MISSING_SIGNAGE
Street Light Condition Street Light Out  63 OSWEGO STREET OSWEGO STREET,POOR_LIGHTING
Street Light Condition Street Light Out  COLUMBUS AVENUE COLUMBUS AVENUE,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 142 WEST 54 STREET WEST 54 STREET,UNSAFE_CROSSWALK
Street Sign - Dangling Other/Unknown Street 252 WEST 30 STREET WEST 30 STREET,MISSING_SIGNAGE
Street Light Condition Street Light Out  133 MASON STREET MASON STREET,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 140-16 SPRINGFIELD BOULEVARD SPRINGFIELD BOULEVARD,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  34-12 10 STREET 10 STREET,POOR_LIGHTING
Traffic Chronic Stoplight Violation Street/Sidewalk VICTORY BOULEVARD VICTORY BOULEVARD,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 320 JAY STREET JAY STREET,UNSAFE_CROSSWALK
Traffic Congestion/Gridlock Street/Sidewalk 18 STREET 18 STREET,OTHER
Illegal Parking Blocked Crosswalk Street/Sidewalk 1709 PARK AVENUE PARK AVENUE,UNSAFE_CROSSWALK
Traffic Signal Condition Ver Mesage Sign RTPI   ,MISSING_SIGNAGE
"Street Sign - Dangling No Parking, Standing, Stopping Street 71-06 64 STREET 64 STREET",MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 157-05 91 STREET 91 STREET,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  FORT TRYON PARK FORT TRYON PARK,POOR_LIGHTING
Street Sign - Dangling Stop Street 243-62 145 AVENUE 145 AVENUE,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 32-11 33 STREET 33 STREET,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  73-41 52 AVENUE 52 AVENUE,POOR_LIGHTING
Traffic Congestion/Gridlock Street/Sidewalk 10 AVENUE 10 AVENUE,OTHER
Illegal Parking Blocked Crosswalk Street/Sidewalk 430 EAST 63 STREET EAST 63 STREET,UNSAFE_CROSSWALK
"Street Sign - Dangling No Parking, Standing, Stopping Street 139-03 QUEENS BOULEVARD QUEENS BOULEVARD",MISSING_SIGNAGE
Street Sign - Damaged Street Cleaning - ASP Street 2922 AVENUE L AVENUE L,MISSING_SIGNAGE
Street Light Condition Street Light Out  33-39 13 STREET 13 STREET,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 53-70 66 STREET 66 STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 393 PACIFIC STREET PACIFIC STREET,UNSAFE_CROSSWALK
Street Sign - Missing Other/Unknown Street EAST 9 STREET EAST 9 STREET,MISSING_SIGNAGE
Street Sign - Dangling Street Cleaning - ASP Street 464 FLUSHING AVENUE FLUSHING AVENUE,MISSING_SIGNAGE
"Street Sign - Missing No Parking, Standing, Stopping Street 251 SEELEY STREET SEELEY STREET",MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk FIRST AVENUE FIRST AVENUE,UNSAFE_CROSSWALK
Street Sign - Damaged One Way Street MILLER AVENUE MILLER AVENUE,MISSING_SIGNAGE
Street Light Condition Multiple Street Lights Out   ,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 280 EAST HOUSTON STREET EAST HOUSTON STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 29 UNION SQUARE WEST UNION SQUARE WEST,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 91-01 31 AVENUE 31 AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 189-04 64 AVENUE 64 AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 240 STREET 240 STREET,UNSAFE_CROSSWALK
"Street Sign - Dangling No Parking, Standing, Stopping Street 35-50 24 STREET 24 STREET",MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 174 7 AVENUE SOUTH 7 AVENUE SOUTH,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 83 SPRING STREET SPRING STREET,UNSAFE_CROSSWALK
Traffic Congestion/Gridlock Street/Sidewalk 501 EAST 60 STREET EAST 60 STREET,OTHER
Street Light Condition Multiple Street Lights Out  CLEARVIEW EXPY CLEARVIEW EXPY,POOR_LIGHTING
Street Light Condition Street Light Out  WASHINGTONS WALK WASHINGTONS WALK,POOR_LIGHTING
Street Light Condition Street Light Out  90 STREET 90 STREET,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk LURTING AVENUE LURTING AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 90 OLD BROADWAY OLD BROADWAY,UNSAFE_CROSSWALK
Street Light Condition Multiple Street Lights Out  977 FOX STREET FOX STREET,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 10-01 36 AVENUE 36 AVENUE,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  EAST RIVER EAST RIVER,POOR_LIGHTING
Traffic Chronic Stoplight Violation Street/Sidewalk 92 WEST TREMONT AVENUE WEST TREMONT AVENUE,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 2501 TILDEN AVENUE TILDEN AVENUE,UNSAFE_CROSSWALK
Traffic Signal Condition Veh Sgnl Mult Lamps   ,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 49 AVENUE 49 AVENUE,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  60 KENSINGTON AVENUE KENSINGTON AVENUE,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 150 OCEAN AVENUE OCEAN AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 80 SOUTH GOFF AVENUE SOUTH GOFF AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 6747 COLONIAL ROAD COLONIAL ROAD,UNSAFE_CROSSWALK
Traffic Congestion/Gridlock Street/Sidewalk LIVONIA AVENUE LIVONIA AVENUE,OTHER
Illegal Parking Blocked Crosswalk Street/Sidewalk 7525 6 AVENUE 6 AVENUE,UNSAFE_CROSSWALK
Traffic Congestion/Gridlock Street/Sidewalk 144 AVENUE 144 AVENUE,OTHER
Illegal Parking Blocked Crosswalk Street/Sidewalk 298 HOLLYWOOD AVENUE HOLLYWOOD AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 48-09 CENTER BOULEVARD CENTER BOULEVARD,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 55 STREET 55 STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk CORLEAR AVENUE CORLEAR AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 711 SEAGIRT AVENUE SEAGIRT AVENUE,UNSAFE_CROSSWALK
Street Sign - Damaged Other/Unknown Street 62-54 97 PLACE 97 PLACE,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 125 NORWOOD AVENUE NORWOOD AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 1977 GERRITSEN AVENUE GERRITSEN AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 122 CLAY STREET CLAY STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 301 EAST 21 STREET EAST 21 STREET,UNSAFE_CROSSWALK
Traffic Drag Racing Street/Sidewalk 45-01 20 AVENUE 20 AVENUE,SPEEDING
Street Sign - Missing Other/Unknown Street 2040 BRONXDALE AVENUE BRONXDALE AVENUE,MISSING_SIGNAGE
Street Sign - Dangling Other/Unknown Street 68-21 ROCKAWAY BEACH BOULEVARD ROCKAWAY BEACH BOULEVARD,MISSING_SIGNAGE
Street Light Condition Street Light Out  45-41 UTOPIA PARKWAY UTOPIA PARKWAY,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk EAST 110 STREET EAST 110 STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 55-70 66 STREET 66 STREET,UNSAFE_CROSSWALK
Street Sign - Missing Street Cleaning - ASP Street 836 EAST 147 STREET EAST 147 STREET,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk NARROWS AVENUE NARROWS AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 905 WEST END AVENUE WEST END AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 119-19 14 ROAD 14 ROAD,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 50 STREET 50 STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 80-20 95 AVENUE 95 AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 2306 THIRD AVENUE THIRD AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 23 DUFFIELD STREET DUFFIELD STREET,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  PS22 PLGD PS22 PLGD,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 5249 BROADWAY BROADWAY,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 2602 VOORHIES AVENUE VOORHIES AVENUE,UNSAFE_CROSSWALK
Street Sign - Dangling Stop Street 80-22 CALDWELL AVENUE CALDWELL AVENUE,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 3030 EMMONS AVENUE EMMONS AVENUE,UNSAFE_CROSSWALK
Traffic Signal Condition Cable   ,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk COLFAX AVENUE COLFAX AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 21-65 79 STREET 79 STREET,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  1236 EAST   80 STREET EAST   80 STREET,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk SANFORD AVENUE SANFORD AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 62-02 60 STREET 60 STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 20-30 149 STREET 149 STREET,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  TROY AVENUE TROY AVENUE,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 34 AVENUE 34 AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 2514 EAST 7 STREET EAST 7 STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 516 SCHROEDERS AVENUE SCHROEDERS AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 53-02 97 STREET 97 STREET,UNSAFE_CROSSWALK
Street Light Condition Lamppost Base Door/Cover Missing  96 WEST  163 STREET WEST  163 STREET,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 4323 NINTH AVENUE NINTH AVENUE,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  48 STREET 48 STREET,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 3043 EMMONS AVENUE EMMONS AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 2785 BROWN STREET BROWN STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 3085 EMMONS AVENUE EMMONS AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 42-29 94 STREET 94 STREET,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  1317 NOSTRAND AVENUE NOSTRAND AVENUE,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 35-01 191 STREET 191 STREET,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  2931 WILSON AVENUE WILSON AVENUE,POOR_LIGHTING
Street Light Condition Street Light Out  1856 63 STREET 63 STREET,POOR_LIGHTING
Street Light Condition Street Light Out  333 4 AVENUE 4 AVENUE,POOR_LIGHTING
Street Light Condition Street Light Out  1660 TOPPING AVENUE TOPPING AVENUE,POOR_LIGHTING
